No,Tanggal,Problem,Replace,Counter,Teknisi
1,2019-01-08,,kirim mesin dc 336,476729," darman,lutfi "
2,2019-01-18,,tukar mesin dc 2005 FS,306623," darman,lutfi "
3,2019-02-19,,invoice,307669, juna 
4,2019-03-18,,"invoice, cek mesin",308069, edy 
5,2019-05-06,,cabut pasang pasang modul print,308781pur,
6,2019-05-08,,"pasang cabut ESS IC, billing machine",308783, edy 
7,2019-05-10,,bikin full system,92224, agung 
8,2019-05-14,,"instal print, scan",92244, edy 
9,2019-12-11,,"jam paper bersihin ,fedroll tray 2",94805, pur 
10,2020-08-13,,"invoice , cek bahan pakai, next toner",97445, pa edy s 
11,2021-04-26,,ganti ulir ,99181, budi 
12,2021-09-22,,"cantolan cover D, Patah sensor , cover D fail",99066, edy s 
13,2021-09-24,,tukar mesin dc 2005,873748," DARMAN,JUNA "